status_sk,status_code,sub_status,win32_status,status_category,status_label,description,severity
292,0,5355,483,Unknown,Other,Other - 0 status code,Unknown
293,0,5360,484,Unknown,Other,Other - 0 status code,Unknown
294,0,5361,733,Unknown,Other,Other - 0 status code,Unknown
295,0,5362,484,Unknown,Other,Other - 0 status code,Unknown
296,0,5364,700,Unknown,Other,Other - 0 status code,Unknown
297,0,5370,733,Unknown,Other,Other - 0 status code,Unknown
298,0,5375,700,Unknown,Other,Other - 0 status code,Unknown
299,0,5382,733,Unknown,Other,Other - 0 status code,Unknown
300,0,5389,866,Unknown,Other,Other - 0 status code,Unknown
301,0,5392,691,Unknown,Other,Other - 0 status code,Unknown
302,0,5393,484,Unknown,Other,Other - 0 status code,Unknown
303,0,5401,866,Unknown,Other,Other - 0 status code,Unknown
304,0,5404,700,Unknown,Other,Other - 0 status code,Unknown
305,0,5422,691,Unknown,Other,Other - 0 status code,Unknown
306,0,5422,866,Unknown,Other,Other - 0 status code,Unknown
307,0,5428,691,Unknown,Other,Other - 0 status code,Unknown
308,0,5430,700,Unknown,Other,Other - 0 status code,Unknown
309,0,5431,700,Unknown,Other,Other - 0 status code,Unknown
310,0,5434,732,Unknown,Other,Other - 0 status code,Unknown
311,0,5442,691,Unknown,Other,Other - 0 status code,Unknown
312,0,5447,867,Unknown,Other,Other - 0 status code,Unknown
313,0,5455,691,Unknown,Other,Other - 0 status code,Unknown
314,0,5457,733,Unknown,Other,Other - 0 status code,Unknown
315,0,5461,867,Unknown,Other,Other - 0 status code,Unknown
316,0,5467,691,Unknown,Other,Other - 0 status code,Unknown
317,0,5469,484,Unknown,Other,Other - 0 status code,Unknown
318,0,5474,867,Unknown,Other,Other - 0 status code,Unknown
319,0,5477,691,Unknown,Other,Other - 0 status code,Unknown
320,0,5494,733,Unknown,Other,Other - 0 status code,Unknown
321,0,5495,700,Unknown,Other,Other - 0 status code,Unknown
322,0,5503,733,Unknown,Other,Other - 0 status code,Unknown
323,0,5508,483,Unknown,Other,Other - 0 status code,Unknown
324,0,5510,691,Unknown,Other,Other - 0 status code,Unknown
325,0,5515,691,Unknown,Other,Other - 0 status code,Unknown
326,0,5516,733,Unknown,Other,Other - 0 status code,Unknown
