time_sk,hour,minute,am_pm,time_band,shift_id
717,7,17,AM,Morning,2
718,7,18,AM,Morning,2
719,7,19,AM,Morning,2
720,7,20,AM,Morning,2
721,7,21,AM,Morning,2
722,7,22,AM,Morning,2
723,7,23,AM,Morning,2
724,7,24,AM,Morning,2
725,7,25,AM,Morning,2
726,7,26,AM,Morning,2
727,7,27,AM,Morning,2
728,7,28,AM,Morning,2
729,7,29,AM,Morning,2
730,7,30,AM,Morning,2
731,7,31,AM,Morning,2
732,7,32,AM,Morning,2
733,7,33,AM,Morning,2
734,7,34,AM,Morning,2
735,7,35,AM,Morning,2
736,7,36,AM,Morning,2
737,7,37,AM,Morning,2
738,7,38,AM,Morning,2
739,7,39,AM,Morning,2
740,7,40,AM,Morning,2
741,7,41,AM,Morning,2
742,7,42,AM,Morning,2
743,7,43,AM,Morning,2
744,7,44,AM,Morning,2
745,7,45,AM,Morning,2
746,7,46,AM,Morning,2
747,7,47,AM,Morning,2
748,7,48,AM,Morning,2
749,7,49,AM,Morning,2
750,7,50,AM,Morning,2
751,7,51,AM,Morning,2
752,7,52,AM,Morning,2
753,7,53,AM,Morning,2
754,7,54,AM,Morning,2
755,7,55,AM,Morning,2
756,7,56,AM,Morning,2
757,7,57,AM,Morning,2
758,7,58,AM,Morning,2
759,7,59,AM,Morning,2
800,8,0,AM,Morning,2
801,8,1,AM,Morning,2
802,8,2,AM,Morning,2
803,8,3,AM,Morning,2
804,8,4,AM,Morning,2
805,8,5,AM,Morning,2
806,8,6,AM,Morning,2
807,8,7,AM,Morning,2
808,8,8,AM,Morning,2
809,8,9,AM,Morning,2
810,8,10,AM,Morning,2
811,8,11,AM,Morning,2
812,8,12,AM,Morning,2
813,8,13,AM,Morning,2
814,8,14,AM,Morning,2
815,8,15,AM,Morning,2
816,8,16,AM,Morning,2
817,8,17,AM,Morning,2
818,8,18,AM,Morning,2
819,8,19,AM,Morning,2
820,8,20,AM,Morning,2
821,8,21,AM,Morning,2
822,8,22,AM,Morning,2
823,8,23,AM,Morning,2
824,8,24,AM,Morning,2
825,8,25,AM,Morning,2
826,8,26,AM,Morning,2
827,8,27,AM,Morning,2
828,8,28,AM,Morning,2
829,8,29,AM,Morning,2
830,8,30,AM,Morning,2
831,8,31,AM,Morning,2
832,8,32,AM,Morning,2
833,8,33,AM,Morning,2
834,8,34,AM,Morning,2
835,8,35,AM,Morning,2
836,8,36,AM,Morning,2
837,8,37,AM,Morning,2
838,8,38,AM,Morning,2
839,8,39,AM,Morning,2
840,8,40,AM,Morning,2
841,8,41,AM,Morning,2
842,8,42,AM,Morning,2
843,8,43,AM,Morning,2
844,8,44,AM,Morning,2
845,8,45,AM,Morning,2
846,8,46,AM,Morning,2
847,8,47,AM,Morning,2
848,8,48,AM,Morning,2
849,8,49,AM,Morning,2
850,8,50,AM,Morning,2
851,8,51,AM,Morning,2
852,8,52,AM,Morning,2
853,8,53,AM,Morning,2
854,8,54,AM,Morning,2
855,8,55,AM,Morning,2
856,8,56,AM,Morning,2
857,8,57,AM,Morning,2
858,8,58,AM,Morning,2
859,8,59,AM,Morning,2
900,9,0,AM,Morning,2
901,9,1,AM,Morning,2
902,9,2,AM,Morning,2
903,9,3,AM,Morning,2
904,9,4,AM,Morning,2
905,9,5,AM,Morning,2
906,9,6,AM,Morning,2
907,9,7,AM,Morning,2
908,9,8,AM,Morning,2
909,9,9,AM,Morning,2
910,9,10,AM,Morning,2
911,9,11,AM,Morning,2
912,9,12,AM,Morning,2
913,9,13,AM,Morning,2
914,9,14,AM,Morning,2
915,9,15,AM,Morning,2
916,9,16,AM,Morning,2
917,9,17,AM,Morning,2
918,9,18,AM,Morning,2
919,9,19,AM,Morning,2
920,9,20,AM,Morning,2
921,9,21,AM,Morning,2
922,9,22,AM,Morning,2
923,9,23,AM,Morning,2
924,9,24,AM,Morning,2
925,9,25,AM,Morning,2
926,9,26,AM,Morning,2
927,9,27,AM,Morning,2
928,9,28,AM,Morning,2
929,9,29,AM,Morning,2
930,9,30,AM,Morning,2
931,9,31,AM,Morning,2
932,9,32,AM,Morning,2
933,9,33,AM,Morning,2
934,9,34,AM,Morning,2
935,9,35,AM,Morning,2
936,9,36,AM,Morning,2
937,9,37,AM,Morning,2
938,9,38,AM,Morning,2
939,9,39,AM,Morning,2
940,9,40,AM,Morning,2
941,9,41,AM,Morning,2
942,9,42,AM,Morning,2
943,9,43,AM,Morning,2
944,9,44,AM,Morning,2
945,9,45,AM,Morning,2
946,9,46,AM,Morning,2
947,9,47,AM,Morning,2
948,9,48,AM,Morning,2
949,9,49,AM,Morning,2
950,9,50,AM,Morning,2
951,9,51,AM,Morning,2
952,9,52,AM,Morning,2
953,9,53,AM,Morning,2
954,9,54,AM,Morning,2
955,9,55,AM,Morning,2
956,9,56,AM,Morning,2
957,9,57,AM,Morning,2
958,9,58,AM,Morning,2
959,9,59,AM,Morning,2
1000,10,0,AM,Morning,2
1001,10,1,AM,Morning,2
1002,10,2,AM,Morning,2
1003,10,3,AM,Morning,2
1004,10,4,AM,Morning,2
1005,10,5,AM,Morning,2
1006,10,6,AM,Morning,2
1007,10,7,AM,Morning,2
1008,10,8,AM,Morning,2
1009,10,9,AM,Morning,2
1010,10,10,AM,Morning,2
1011,10,11,AM,Morning,2
1012,10,12,AM,Morning,2
1013,10,13,AM,Morning,2
1014,10,14,AM,Morning,2
1015,10,15,AM,Morning,2
1016,10,16,AM,Morning,2
1017,10,17,AM,Morning,2
1018,10,18,AM,Morning,2
1019,10,19,AM,Morning,2
1020,10,20,AM,Morning,2
1021,10,21,AM,Morning,2
1022,10,22,AM,Morning,2
1023,10,23,AM,Morning,2
1024,10,24,AM,Morning,2
1025,10,25,AM,Morning,2
1026,10,26,AM,Morning,2
1027,10,27,AM,Morning,2
1028,10,28,AM,Morning,2
1029,10,29,AM,Morning,2
1030,10,30,AM,Morning,2
1031,10,31,AM,Morning,2
1032,10,32,AM,Morning,2
1033,10,33,AM,Morning,2
1034,10,34,AM,Morning,2
1035,10,35,AM,Morning,2
1036,10,36,AM,Morning,2
1037,10,37,AM,Morning,2
1038,10,38,AM,Morning,2
1039,10,39,AM,Morning,2
1040,10,40,AM,Morning,2
1041,10,41,AM,Morning,2
1042,10,42,AM,Morning,2
1043,10,43,AM,Morning,2
1044,10,44,AM,Morning,2
1045,10,45,AM,Morning,2
1046,10,46,AM,Morning,2
1047,10,47,AM,Morning,2
1048,10,48,AM,Morning,2
1049,10,49,AM,Morning,2
1050,10,50,AM,Morning,2
1051,10,51,AM,Morning,2
1052,10,52,AM,Morning,2
1053,10,53,AM,Morning,2
1054,10,54,AM,Morning,2
1055,10,55,AM,Morning,2
1056,10,56,AM,Morning,2
1057,10,57,AM,Morning,2
1058,10,58,AM,Morning,2
1059,10,59,AM,Morning,2
1100,11,0,AM,Morning,2
1101,11,1,AM,Morning,2
1102,11,2,AM,Morning,2
1103,11,3,AM,Morning,2
1104,11,4,AM,Morning,2
1105,11,5,AM,Morning,2
1106,11,6,AM,Morning,2
1107,11,7,AM,Morning,2
1108,11,8,AM,Morning,2
1109,11,9,AM,Morning,2
1110,11,10,AM,Morning,2
1111,11,11,AM,Morning,2
1112,11,12,AM,Morning,2
1113,11,13,AM,Morning,2
